job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
Pharmacy Manager,65.00,81.00,$,[],2024-04-12T00:47:46Z,14101784,"[{'name': 'Beaumont, TX'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-manager-e4c458,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
"Pharmacy Technician, Front End - Overnight (Data Entry/Customer Service)",his pay range represents the base hourly rate or base annual full,"ime salary for all positions in the job grade within which this position falls.  The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors.",_UNKOWN_,[],2024-04-12T00:47:44Z,14148497,"[{'name': 'Tampa, FL'}]",[{'name': 'Education'}],mid,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-front-end-overnight-data-entrycustomer-service,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
"Director, Client Services Manager, Global Markets Platform and Electronic Trading, Hong Kong",_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2024-04-19T00:00:37Z,14704888,[{'name': 'Hong Kong'}],[],senior,https://www.themuse.com/jobs/bankofamerica/director-client-services-manager-global-markets-platform-and-electronic-trading-hong-kong,external,Bank of America,12145,muse.com,2024-04-19_13:05:59
Technical Team Leader - Core Team,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2024-04-17T23:33:41Z,13681803,"[{'name': 'Paris, France'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/abtasty/technical-team-leader-core-team,external,AB Tasty,11719,muse.com,2024-04-19_13:05:59
Shift Supervisor Trainee,16.00,18.50,$,[],2024-04-12T00:41:37Z,14421338,"[{'name': 'Hilton Head, SC'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-7fa144,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Shift Supervisor Trainee,16.00,22.00,$,[],2024-04-12T00:55:42Z,13452053,"[{'name': 'Boca Raton, FL'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-c53024,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
"Executive Director for PBM Underwriting, Client Pricing Hub, and Trade Technology","175,100.00","334,800.00",$,[],2024-04-12T00:33:23Z,14582433,"[{'name': 'Springfield, IL'}]",[{'name': 'Writing and Editing'}],senior,https://www.themuse.com/jobs/cvshealth/executive-director-for-pbm-underwriting-client-pricing-hub-and-trade-technology,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Component Engineer - Steam Turbine,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-05-08T23:35:20Z,11146774,"[{'name': 'Baroda, India'}]",[{'name': 'Software Engineering'}],mid,https://www.themuse.com/jobs/siemens/component-engineer-steam-turbine,external,Siemens,11913,muse.com,2024-04-19_13:05:59
Pharmacy Technician,16.75,24.00,$,[],2024-04-12T00:33:21Z,14629616,"[{'name': 'Lake Success, NY'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-9859c4,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Shift Supervisor Trainee,16.00,19.50,$,[],2024-04-12T00:47:45Z,14103157,"[{'name': 'Richmond Heights, OH'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-d9ed56,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
