jobId,employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl
52314020,658769,PPR Social Care,,,SENIOR PRACTITIONER,Southend,43421.0,48403.0,GBP,19/04/2024,14/03/2024,"Qualified Social Worker - SENIOR PRACTITIONER Location: South East Pay rate:&nbsp; 43421- 48403 per annum We are looking for experienced and passionate SENIOR PRACTITIONER Social Workers to join a dedicated&nbsp; Family Support &amp; Protection Team .As part of this Local Authorities Family Support &amp; Protection Service, you will&nbsp; have a passion for making a difference to our children. This role has been created through significate inves... ",1,https://www.reed.co.uk/jobs/senior-practitioner/52314020
52330874,399622,Arthur,,,Financial Crime Officer,EC3M7AA,,,,16/04/2024,18/03/2024,"Arthur are working with a leading Insurance Broker in their search for a Financial Crime Officer to join their team. This role will suit insurance compliance candidates&nbsp;currently in a financial crime role, or those with a keen interest in regulatory updates and developments looking to diversify their skill set&nbsp;by increasing their sanctions and financial crime exposure. Reporting into the Head of Financial Crime, you will be responsible... ",0,https://www.reed.co.uk/jobs/financial-crime-officer/52330874
52330873,80527,Cooper Lomaz Recruitment,,,React Web Developer ,IP331BE,,,,30/04/2024,18/03/2024,"React Web Developer Bury St Edmunds - UK Hybrid Working Role This is an exciting opportunity for a skilled React Developer to enhance their career with a great company who operate in a collaborative environment and have exciting plans for 2024. In this role you will be expected to build outstanding and user friendly interfaces whilst working as part of a growing, well managed team. Key Responsibilities Include: Create high performance web applic... ",0,https://www.reed.co.uk/jobs/react-web-developer/52330873
52314009,420285,"Mosaic Recruitment Ltd.,",,,Client Account Manager,Waltham Abbey,27000.0,32000.0,GBP,13/04/2024,14/03/2024,"Our client is a UK market leader in its industry in its 100th year Great salary, performance bonuses and on going training and support Do you have client account management expereince with the ability to upsell? Do you pride yourself on giving outstanding customer service?&nbsp;&nbsp; Are you an upbeat individual with the passion and drive to succeed? Do you enjoy building a rapport with your customers and confident to upsell or cross-sell produ... ",3,https://www.reed.co.uk/jobs/client-account-manager/52314009
52314010,403086,Barclay Meade,,,Buyer,Wallingford,45000.0,50000.0,GBP,26/04/2024,14/03/2024,"Your role will be to oversee and manage external suppliers and technical purchasing. Sitting within our finance function, you will be working closely with the technical team who manage our production, ensuring all parts are delivered for timely execution. You will assist in keeping up to date documentation for this essentially removing all supply related barriers with regard to production wherever possible. The role will be hybrid; it will invol... ",2,https://www.reed.co.uk/jobs/buyer/52314010
52330872,629851,Antony James Recruitment Ltd,,,Tutor,Hemel Hempstead,28000.0,34000.0,GBP,30/04/2024,18/03/2024,"Engineering, Manufacturing and Warehousing Tutor Are you passionate about sharing your expertise in Engineering, Manufacturing or Warehousing? Our well established client, are seeking a talented individual to share their knowledge in a permanent Tutoring role working in prisons to aid with rehabilitation in to the workplace. Full Tutor training will be provided but industry knowledge is key. This is a fantastic opportunity for someone with a bac... ",0,https://www.reed.co.uk/jobs/tutor/52330872
52260510,7337,Ashdown Group,,,"Accounts Payable Assistant - Chertsey, Surrey - £27,000 - Hybrid",Chertsey,22000.0,27000.0,GBP,20/03/2024,06/03/2024,"Accounts Payable Assistant – Chertsey, Surrey - 27,000 - Hybrid A highly successful, global business offering hybrid working are looking for an Accounts Payable Assistant to join them on a 12 month FTC. Reporting to the Accounts Payable Manager, you will be responsible for analysis, coding and processing of invoices onto the ledger.&nbsp; You will be proactive, detail orientated and enjoy a busy and fast paced role. Key responsibilities of this ... ",15,https://www.reed.co.uk/jobs/accounts-payable-assistant-chertsey-surrey-27000-hybrid/52260510
52330871,464789,Randstad Care ,,,Registered General Nurse,Liverpool,18.39,35.0,GBP,30/04/2024,18/03/2024,"Registered General Nurse Liverpool Up to 35.00p/h Randstad is a registered NHS supplier, with an excellent range of shifts, a custom online booking system, and dedicated consultants to help you as a Registered General Nurse reboot your career. Are you looking for a fresh start as a Registered General Nurse? We are currently looking for Registered General Nurses in Liverpool and the surrounding area available for day and night shifts. There are e... ",0,https://www.reed.co.uk/jobs/registered-general-nurse/52330871
52260509,225013,Plus One Recruitment,,,Senior Legal Cashier,OX92BX,33000.0,38000.0,GBP,07/04/2024,06/03/2024,"Our client is a leading legal practice and due to expansion, is currently looking to hire an experienced Legal Cashier to join their finance team, at their head office in Thame, Oxfordshire. In this role, you will play a crucial part in supporting the team, ensuring the smooth and effective operation of the finance function. This an exciting role with genuine career development opportunities for someone looking to step into a more senior role wi... ",4,https://www.reed.co.uk/jobs/senior-legal-cashier/52260509
52314008,387681,Interaction Recruitment,,,Adminstrator,Walsall,11.0,11.5,GBP,26/04/2024,14/03/2024,"Interaction Recruitment are seeking an Office Adminstrator for our client in Walsall. The ideal candidate will have experience with sage line 50, excellent phone etiquette, and strong computer skills. Duties: - General office duties, including answering phone calls. - Responding to emails , and handling mail. - Assist with data entry and record data. - Ordering materials and products. - Provide administrative support to staff members as needed. ... ",9,https://www.reed.co.uk/jobs/adminstrator/52314008
