source_id,job_title_name,experience_level,published,salary_min,salary_max,joboffer_url,currency_symbol,location_country,job_site,skills,categories,data_source_name
52419959,Administrator,Medium,2024-04-04,13,16,https://www.reed.co.uk/jobs/administrator/52419959,GBP,United Kingdom,remote,['_NOTFOUND_'],['data administrator'],reed
52394598,Fire Risk Assessor / Fire Officer,Medium,2024-03-28,45000,45000,https://www.reed.co.uk/jobs/fire-risk-assessor-fire-officer/52394598,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['data administrator'],reed
52419943,Regional Account Manager,Medium,2024-04-04,35000,45000,https://www.reed.co.uk/jobs/regional-account-manager/52419943,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52419870,Assistant Store Manager,Medium,2024-04-04,35000,43000,https://www.reed.co.uk/jobs/assistant-store-manager/52419870,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52384216,Finance Manager,Medium,2024-03-27,50000,55000,https://www.reed.co.uk/jobs/finance-manager/52384216,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52384195,Private Client Solicitor,Medium,2024-03-27,40000,80000,https://www.reed.co.uk/jobs/private-client-solicitor/52384195,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
49808945,Audit Senior,Senior,2023-02-16,40000,50000,https://www.reed.co.uk/jobs/audit-senior/49808945,GBP,United Kingdom,hybrid,['excel'],['Other'],reed
52419823,Junior Sales Executive,Junior,2024-04-04,20000,25000,https://www.reed.co.uk/jobs/junior-sales-executive/52419823,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data administrator'],reed
52419806,Cover Teacher,Medium,2024-04-04,145,155,https://www.reed.co.uk/jobs/cover-teacher/52419806,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
51397103,Commercial Property Solicitor,Medium,2023-10-10,42000,50000,https://www.reed.co.uk/jobs/commercial-property-solicitor/51397103,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
51397092,Commercial Property Associate,Medium,2023-10-10,45000,60000,https://www.reed.co.uk/jobs/commercial-property-associate/51397092,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
51397082,Commercial Property Senior Associate,Senior,2023-10-10,60000,80000,https://www.reed.co.uk/jobs/commercial-property-senior-associate/51397082,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
51397073,Corporate Commercial Associate,Medium,2023-10-10,50000,70000,https://www.reed.co.uk/jobs/corporate-commercial-associate/51397073,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
51397063,Corporate Commercial Senior Associate,Senior,2023-10-10,65000,80000,https://www.reed.co.uk/jobs/corporate-commercial-senior-associate/51397063,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52419732,Office Manager,Medium,2024-04-04,20,20,https://www.reed.co.uk/jobs/office-manager/52419732,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
51397056,Private Client Solicitor,Medium,2023-10-10,44000,55000,https://www.reed.co.uk/jobs/private-client-solicitor/51397056,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52366804,Classteacher - Creative Hendon School,Medium,2024-03-23,32500,49500,https://www.reed.co.uk/jobs/classteacher-creative-hendon-school/52366804,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52366787,Full Stack Developer,Medium,2024-03-23,65000,75000,https://www.reed.co.uk/jobs/full-stack-developer/52366787,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['data engineer'],reed
52366781,Business Development Manager,Medium,2024-03-23,50000,85000,https://www.reed.co.uk/jobs/business-development-manager/52366781,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52241549,Helpdesk Coordinator,Medium,2024-03-04,28000,28000,https://www.reed.co.uk/jobs/helpdesk-coordinator/52241549,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data administrator'],reed
52383923,Teacher of Mathematics,Medium,2024-03-27,31350,47839,https://www.reed.co.uk/jobs/teacher-of-mathematics/52383923,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52383898,Warehouse Operative,Medium,2024-03-27,11,11,https://www.reed.co.uk/jobs/warehouse-operative/52383898,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52383893,Maths Teaching Assistant,Medium,2024-03-27,90,110,https://www.reed.co.uk/jobs/maths-teaching-assistant/52383893,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
47261730,Commercial Account Handler,Medium,2022-06-22,50000,60000,https://www.reed.co.uk/jobs/commercial-account-handler/47261730,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52383837,Teacher of Modern Foreign Languages,Medium,2024-03-27,32350,47839,https://www.reed.co.uk/jobs/teacher-of-modern-foreign-languages/52383837,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52419494,Cover Supervisor,Medium,2024-04-04,90,120,https://www.reed.co.uk/jobs/cover-supervisor/52419494,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
47261691,Insurance Consultant,Medium,2022-06-22,25000,30000,https://www.reed.co.uk/jobs/insurance-consultant/47261691,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data analyst'],reed
52383811,Maths Teaching Assistant,Medium,2024-03-27,90,110,https://www.reed.co.uk/jobs/maths-teaching-assistant/52383811,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52383753,Accounting software support,Medium,2024-03-27,25000,35000,https://www.reed.co.uk/jobs/accounting-software-support/52383753,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52366751,RE Teacher,Medium,2024-03-23,31350,42689,https://www.reed.co.uk/jobs/re-teacher/52366751,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52338452,Senior Accountant,Senior,2024-03-19,35000,45000,https://www.reed.co.uk/jobs/senior-accountant/52338452,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52338445,Semi Senior Accountant,Senior,2024-03-19,22000,32000,https://www.reed.co.uk/jobs/semi-senior-accountant/52338445,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52366706,Service Administrator - Immediate Start,Medium,2024-03-23,12,12,https://www.reed.co.uk/jobs/service-administrator-immediate-start/52366706,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['data administrator'],reed
52419329,Daily Supply Teacher,Medium,2024-04-04,140,155,https://www.reed.co.uk/jobs/daily-supply-teacher/52419329,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52366549,Field Service Engineer,Medium,2024-03-23,16,17,https://www.reed.co.uk/jobs/field-service-engineer/52366549,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data engineer'],reed
52208668,Junior Graphic Designer,Junior,2024-02-27,24000,26000,https://www.reed.co.uk/jobs/junior-graphic-designer/52208668,GBP,United Kingdom,_notfound_,['Excel'],['Other'],reed
52317842,Servicing Account Manager - Bridging Loans,Medium,2024-03-14,40000,42000,https://www.reed.co.uk/jobs/servicing-account-manager-bridging-loans/52317842,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52366448,Vehicle Technician,Medium,2024-03-22,37000,55000,https://www.reed.co.uk/jobs/vehicle-technician/52366448,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52383347,Payroll Assistant,Medium,2024-03-26,30000,30000,https://www.reed.co.uk/jobs/payroll-assistant/52383347,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52418964,Regional Manager,Medium,2024-04-03,45000,45000,https://www.reed.co.uk/jobs/regional-manager/52418964,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52383307,Customer Service Field Agent - Driving,Medium,2024-03-26,12,12,https://www.reed.co.uk/jobs/customer-service-field-agent-driving/52383307,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52383276,Arrears & Litigation Officer - Bridging Loans,Medium,2024-03-26,40000,42000,https://www.reed.co.uk/jobs/arrears-litigation-officer-bridging-loans/52383276,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data administrator'],reed
52418893,Business Support Administrator,Medium,2024-04-03,12,12,https://www.reed.co.uk/jobs/business-support-administrator/52418893,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data administrator'],reed
52418888,Urgent Care Practitioner,Medium,2024-04-03,47,70,https://www.reed.co.uk/jobs/urgent-care-practitioner/52418888,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52418870,Advanced Clinical Practitioner - Locum,Medium,2024-04-03,47,70,https://www.reed.co.uk/jobs/advanced-clinical-practitioner-locum/52418870,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52365839,Art Teacher,Medium,2024-03-22,31350,47839,https://www.reed.co.uk/jobs/art-teacher/52365839,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52365838,Field Sales Executive,Medium,2024-03-22,40000,45000,https://www.reed.co.uk/jobs/field-sales-executive/52365838,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data administrator'],reed
52365835,Field Sales Show Fundraiser,Medium,2024-03-22,40000,45000,https://www.reed.co.uk/jobs/field-sales-show-fundraiser/52365835,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52383079,Senior Quantity Surveyor,Senior,2024-03-26,50000,90000,https://www.reed.co.uk/jobs/senior-quantity-surveyor/52383079,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52418679,Graduate Teaching Assistant,Medium,2024-04-03,70,100,https://www.reed.co.uk/jobs/graduate-teaching-assistant/52418679,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
51738173,Financial Services Operations Support (Remote),Medium,2023-12-04,25000,28000,https://www.reed.co.uk/jobs/financial-services-operations-support-remote/51738173,GBP,United Kingdom,"hybrid, remote",['_NOTFOUND_'],['Other'],reed
52418676,Semi- Senior Accountant,Senior,2024-04-03,28000,35000,https://www.reed.co.uk/jobs/semi-senior-accountant/52418676,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['Other'],reed
52383027,Year 5 Teacher,Medium,2024-03-26,150,200,https://www.reed.co.uk/jobs/year-5-teacher/52383027,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52418649,Payroll Officer Hybrid,Medium,2024-04-03,27000,32000,https://www.reed.co.uk/jobs/payroll-officer-hybrid/52418649,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['data administrator'],reed
52370838,Inbound Sales Customer Service Executive,Medium,2024-03-25,22660,22660,https://www.reed.co.uk/jobs/inbound-sales-customer-service-executive/52370838,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data administrator'],reed
